step_size,mean_time,min_time,max_time,total_time,n_predictions
1,0.006753045138888889,0.005794,0.105046,1.944877,288
3,0.007204624999999999,0.006584,0.01354,0.6916439999999999,96
6,0.0085240625,0.008038,0.012622,0.40915500000000005,48
12,0.011462749999999999,0.010959,0.013442,0.27510599999999996,24
24,0.018141749999999998,0.016555,0.021262,0.21770099999999998,12
