,computation_time
0,0.00693
1,0.005453
2,0.005591
3,0.005343
4,0.005278
5,0.005491
6,0.005461
7,0.005522
8,0.005342
9,0.005383
10,0.005358
11,0.005339
12,0.005489
13,0.005359
14,0.005318
15,0.005453
16,0.005562
17,0.005268
18,0.005521
19,0.005766
20,0.005514
21,0.005535
22,0.005533
23,0.005534
24,0.005996
25,0.005562
26,0.005482
27,0.005471
28,0.005646
29,0.00574
30,0.005801
31,0.005463
32,0.005745
33,0.005366
34,0.005309
35,0.005781
36,0.005504
37,0.005714
38,0.005434
39,0.005439
40,0.005423
41,0.005639
42,0.005305
43,0.005476
44,0.00552
45,0.005461
46,0.005383
47,0.005685
