,computation_time
0,0.00665
1,0.004895
2,0.004864
3,0.004962
4,0.004965
5,0.004909
6,0.004985
7,0.004892
8,0.005263
9,0.004605
10,0.004907
11,0.004684
12,0.005107
13,0.004976
14,0.004989
15,0.004855
16,0.004894
17,0.00499
18,0.005304
19,0.005337
20,0.004989
21,0.004988
22,0.004907
23,0.004876
24,0.005169
25,0.005038
26,0.004947
27,0.005076
28,0.004856
29,0.005037
30,0.004944
31,0.00497
32,0.004778
33,0.004827
34,0.005007
35,0.004776
36,0.004999
37,0.004779
38,0.004896
39,0.004774
40,0.004854
41,0.004823
42,0.005017
43,0.005226
44,0.004952
45,0.004821
46,0.00514
47,0.004666
48,0.004962
49,0.004987
50,0.004918
51,0.004929
52,0.004874
53,0.004858
54,0.005134
55,0.004922
56,0.004922
57,0.005368
58,0.005041
59,0.004848
60,0.004838
61,0.004939
62,0.004802
63,0.004787
64,0.00495
65,0.004822
66,0.004853
67,0.005001
68,0.004731
69,0.004829
70,0.004724
71,0.004766
72,0.005248
73,0.004995
74,0.004791
75,0.004931
76,0.004876
77,0.004802
78,0.004797
79,0.004784
80,0.004676
81,0.004791
82,0.004752
83,0.004771
84,0.004879
85,0.005015
86,0.004959
87,0.004872
88,0.004751
89,0.004691
90,0.006428
91,0.005045
92,0.004885
93,0.004716
94,0.004847
95,0.004798
