step_size,mean_time,min_time,max_time,total_time,n_predictions
1,0.004615947916666667,0.004281,0.00716,1.329393,288
3,0.0049486458333333335,0.004605,0.00665,0.47507,96
6,0.0055351666666666665,0.005268,0.00693,0.265688,48
12,0.006862958333333333,0.006566,0.008326,0.164711,24
24,0.01010625,0.009154,0.013028,0.12127500000000001,12
