,computation_time
0,0.006477
1,0.004927
2,0.005063
3,0.0047
4,0.004772
5,0.004785
6,0.004892
7,0.005083
8,0.00491
9,0.004995
10,0.005294
11,0.004773
12,0.005004
13,0.004918
14,0.005261
15,0.004919
16,0.005043
17,0.004848
18,0.004673
19,0.00489
20,0.004784
21,0.005011
22,0.004955
23,0.004882
24,0.004807
25,0.004956
26,0.00476
27,0.004876
28,0.004826
29,0.005087
30,0.004691
31,0.004673
32,0.0049
33,0.004929
34,0.004923
35,0.004929
36,0.004909
37,0.004791
38,0.004791
39,0.00479
40,0.005027
41,0.004967
42,0.004702
43,0.005147
44,0.004819
45,0.004744
46,0.004887
47,0.004932
48,0.006075
49,0.004692
50,0.004848
51,0.004875
52,0.00491
53,0.004887
54,0.004689
55,0.004881
56,0.004696
57,0.005248
58,0.004753
59,0.004615
60,0.005115
61,0.004867
62,0.006906
63,0.00485
64,0.005195
65,0.004787
66,0.004911
67,0.005897
68,0.004998
69,0.004945
70,0.004809
71,0.004682
72,0.004941
73,0.005922
74,0.004875
75,0.004687
76,0.004685
77,0.004841
78,0.00473
79,0.007628
80,0.004779
81,0.004808
82,0.004754
83,0.005197
84,0.005885
85,0.005007
86,0.004737
87,0.004851
88,0.005054
89,0.004915
90,0.004626
91,0.004701
92,0.004999
93,0.00515
94,0.005018
95,0.007102
