,computation_time
0,0.005735
1,0.005826
2,0.004463
3,0.004595
4,0.004459
5,0.004597
6,0.004725
7,0.004505
8,0.004392
9,0.004358
10,0.005046
11,0.004462
12,0.004575
13,0.004533
14,0.004559
15,0.004483
16,0.004342
17,0.004404
18,0.004666
19,0.004672
20,0.004395
21,0.004658
22,0.004403
23,0.004584
24,0.004545
25,0.004704
26,0.004623
27,0.004725
28,0.004549
29,0.00663
30,0.004685
31,0.004498
32,0.004582
33,0.004595
34,0.004407
35,0.004428
36,0.006193
37,0.004448
38,0.004682
39,0.004269
40,0.00442
41,0.005002
42,0.004439
43,0.004436
44,0.004885
45,0.004572
46,0.004553
47,0.004338
48,0.004492
49,0.004486
50,0.004466
51,0.004605
52,0.00473
53,0.004635
54,0.005093
55,0.005004
56,0.004715
57,0.004508
58,0.004442
59,0.004758
60,0.004908
61,0.004823
62,0.004378
63,0.004561
64,0.00449
65,0.00469
66,0.004604
67,0.004393
68,0.004476
69,0.00462
70,0.004592
71,0.004515
72,0.004559
73,0.004382
74,0.004671
75,0.00432
76,0.004474
77,0.004326
78,0.004358
79,0.004393
80,0.004487
81,0.004665
82,0.004685
83,0.004395
84,0.004522
85,0.004423
86,0.004813
87,0.004579
88,0.00436
89,0.004587
90,0.004426
91,0.004452
92,0.004478
93,0.004479
94,0.004389
95,0.004712
96,0.004691
97,0.004527
98,0.004465
99,0.004349
100,0.004492
101,0.004485
102,0.00539
103,0.004382
104,0.004611
105,0.00471
106,0.004649
107,0.004443
108,0.004683
109,0.004752
110,0.004808
111,0.004733
112,0.004676
113,0.004505
114,0.005934
115,0.004687
116,0.00489
117,0.004555
118,0.004472
119,0.004598
120,0.004455
121,0.004582
122,0.004609
123,0.004322
124,0.004782
125,0.004777
126,0.004678
127,0.004481
128,0.004606
129,0.004523
130,0.004572
131,0.004515
132,0.004524
133,0.004759
134,0.004471
135,0.00449
136,0.004487
137,0.004602
138,0.004484
139,0.004603
140,0.004621
141,0.004721
142,0.00442
143,0.004657
144,0.004424
145,0.00446
146,0.004676
147,0.004707
148,0.004311
149,0.004351
150,0.004462
151,0.004354
152,0.004352
153,0.004523
154,0.004361
155,0.004757
156,0.004666
157,0.00432
158,0.004723
159,0.004267
160,0.004521
161,0.004471
162,0.004507
163,0.00446
164,0.004379
165,0.004378
166,0.004217
167,0.004422
168,0.004316
169,0.004612
170,0.004417
171,0.004436
172,0.00455
173,0.004425
174,0.004514
175,0.004355
176,0.004492
177,0.004224
178,0.004302
179,0.004432
180,0.004315
181,0.004364
182,0.004259
183,0.004306
184,0.00438
185,0.004687
186,0.004544
187,0.004264
188,0.004684
189,0.004378
190,0.004493
191,0.004595
192,0.004568
193,0.00437
194,0.004408
195,0.004242
196,0.004302
197,0.004377
198,0.004601
199,0.004524
200,0.00449
201,0.0043
202,0.00447
203,0.004615
204,0.004522
205,0.004338
206,0.004535
207,0.006026
208,0.004596
209,0.004502
210,0.004235
211,0.004393
212,0.004375
213,0.004328
214,0.004317
215,0.004715
216,0.004555
217,0.004493
218,0.004381
219,0.004308
220,0.004337
221,0.004402
222,0.004527
223,0.004492
224,0.004392
225,0.00437
226,0.004521
227,0.004704
228,0.004475
229,0.004533
230,0.00438
231,0.00429
232,0.004401
233,0.004488
234,0.004422
235,0.004464
236,0.004562
237,0.004434
238,0.004393
239,0.004333
240,0.004429
241,0.004346
242,0.004399
243,0.004375
244,0.004312
245,0.004382
246,0.004454
247,0.004326
248,0.004317
249,0.004438
250,0.004271
251,0.004515
252,0.004657
253,0.004239
254,0.004458
255,0.004346
256,0.004266
257,0.00459
258,0.004502
259,0.004595
260,0.004415
261,0.004601
262,0.004212
263,0.00424
264,0.006692
265,0.004408
266,0.004217
267,0.004383
268,0.004416
269,0.004369
270,0.004545
271,0.004247
272,0.004429
273,0.004296
274,0.004233
275,0.004447
276,0.004161
277,0.004881
278,0.004301
279,0.004355
280,0.004406
281,0.004455
282,0.004283
283,0.004309
284,0.00459
285,0.004375
286,0.004456
287,0.004439
