,computation_time
0,0.0077
1,0.005312
2,0.005407
3,0.005678
4,0.005636
5,0.005422
6,0.005718
7,0.00525
8,0.00546
9,0.005829
10,0.005511
11,0.005707
12,0.005287
13,0.005469
14,0.005515
15,0.005215
16,0.005328
17,0.005211
18,0.005501
19,0.005418
20,0.005341
21,0.005432
22,0.005651
23,0.005581
24,0.005168
25,0.005333
26,0.00555
27,0.005217
28,0.005591
29,0.005378
30,0.005547
31,0.005444
32,0.005314
33,0.005575
34,0.005514
35,0.005411
36,0.005211
37,0.005971
38,0.005332
39,0.005489
40,0.005424
41,0.00826
42,0.005432
43,0.005241
44,0.005379
45,0.005325
46,0.005539
47,0.005487
