,computation_time
0,0.007426
1,0.007924
2,0.00611
3,0.005953
4,0.00614
5,0.005844
6,0.005895
7,0.005992
8,0.030106
9,0.006034
10,0.00627
11,0.006169
12,0.005894
13,0.006025
14,0.006135
15,0.006128
16,0.006024
17,0.006008
18,0.006092
19,0.006023
20,0.006246
21,0.006351
22,0.006091
23,0.006229
24,0.006257
25,0.006349
26,0.006285
27,0.006195
28,0.005926
29,0.005946
30,0.005858
31,0.006209
32,0.014103
33,0.006001
34,0.005987
35,0.005964
36,0.006206
37,0.00624
38,0.006088
39,0.005994
40,0.006234
41,0.006177
42,0.006145
43,0.005794
44,0.005865
45,0.006493
46,0.006076
47,0.006039
48,0.005998
49,0.006134
50,0.00611
51,0.005988
52,0.005967
53,0.006017
54,0.006146
55,0.005818
56,0.006181
57,0.005905
58,0.006559
59,0.005998
60,0.006254
61,0.006069
62,0.006305
63,0.006393
64,0.006204
65,0.006089
66,0.006067
67,0.005846
68,0.006133
69,0.006029
70,0.006574
71,0.005959
72,0.006351
73,0.006357
74,0.006445
75,0.006107
76,0.011337
77,0.006047
78,0.00644
79,0.005985
80,0.00866
81,0.006035
82,0.006058
83,0.006242
84,0.006905
85,0.005999
86,0.005936
87,0.00601
88,0.006115
89,0.006133
90,0.006027
91,0.006076
92,0.005843
93,0.005937
94,0.005862
95,0.005943
96,0.006402
97,0.005924
98,0.005855
99,0.005999
100,0.006065
101,0.005986
102,0.006346
103,0.006102
104,0.006293
105,0.006165
106,0.005859
107,0.006099
108,0.006213
109,0.006125
110,0.005882
111,0.006144
112,0.006116
113,0.006186
114,0.00607
115,0.010401
116,0.005837
117,0.005982
118,0.005897
119,0.005871
120,0.006089
121,0.006482
122,0.005987
123,0.006248
124,0.006312
125,0.005944
126,0.006177
127,0.005892
128,0.006857
129,0.006119
130,0.005847
131,0.005965
132,0.006117
133,0.005988
134,0.007343
135,0.006147
136,0.006779
137,0.006203
138,0.006234
139,0.00619
140,0.006122
141,0.006437
142,0.00606
143,0.00605
144,0.005963
145,0.006095
146,0.006421
147,0.006059
148,0.006231
149,0.006141
150,0.036191
151,0.0061
152,0.006176
153,0.005939
154,0.006236
155,0.006031
156,0.005819
157,0.00625
158,0.105046
159,0.006065
160,0.006125
161,0.006119
162,0.005878
163,0.005828
164,0.005958
165,0.006564
166,0.006025
167,0.00602
168,0.006196
169,0.008857
170,0.005927
171,0.006018
172,0.006235
173,0.006376
174,0.008041
175,0.006107
176,0.006
177,0.006073
178,0.005982
179,0.005931
180,0.006037
181,0.006444
182,0.005977
183,0.005925
184,0.006262
185,0.006028
186,0.006061
187,0.006358
188,0.006022
189,0.00638
190,0.006014
191,0.006128
192,0.006039
193,0.00611
194,0.005964
195,0.006154
196,0.006065
197,0.006188
198,0.006137
199,0.006236
200,0.005968
201,0.005977
202,0.005891
203,0.006071
204,0.006227
205,0.006387
206,0.006075
207,0.006436
208,0.006326
209,0.006071
210,0.006184
211,0.006207
212,0.00601
213,0.006486
214,0.006209
215,0.006383
216,0.007792
217,0.006063
218,0.005991
219,0.005975
220,0.006287
221,0.005897
222,0.006101
223,0.006512
224,0.006028
225,0.006045
226,0.006047
227,0.005872
228,0.006084
229,0.006118
230,0.006042
231,0.006301
232,0.006001
233,0.006011
234,0.005969
235,0.006292
236,0.006209
237,0.005935
238,0.005962
239,0.005942
240,0.006048
241,0.006161
242,0.006039
243,0.006374
244,0.005909
245,0.006537
246,0.006355
247,0.006031
248,0.006017
249,0.006073
250,0.00625
251,0.006051
252,0.006212
253,0.005949
254,0.005957
255,0.006171
256,0.005905
257,0.006034
258,0.006026
259,0.006006
260,0.005989
261,0.005871
262,0.008273
263,0.006037
264,0.006312
265,0.005971
266,0.005926
267,0.00618
268,0.006386
269,0.005995
270,0.006128
271,0.006177
272,0.005961
273,0.005876
274,0.005934
275,0.006104
276,0.006131
277,0.005935
278,0.006162
279,0.005998
280,0.006009
281,0.006065
282,0.006057
283,0.00629
284,0.006002
285,0.006173
286,0.006243
287,0.00611
