,computation_time
0,0.010097
1,0.008054
2,0.012622
3,0.008131
4,0.008454
5,0.008557
6,0.008467
7,0.008118
8,0.008311
9,0.008081
10,0.008806
11,0.008416
12,0.008088
13,0.00854
14,0.008341
15,0.008411
16,0.008161
17,0.008374
18,0.008843
19,0.008514
20,0.008196
21,0.008122
22,0.008312
23,0.008649
24,0.008312
25,0.008247
26,0.008948
27,0.008358
28,0.008906
29,0.009028
30,0.008394
31,0.008141
32,0.008655
33,0.008103
34,0.008071
35,0.008038
36,0.008408
37,0.008566
38,0.008485
39,0.008283
40,0.008246
41,0.008263
42,0.008425
43,0.008171
44,0.008546
45,0.008546
46,0.00857
47,0.00878
