,computation_time
0,0.008302
1,0.007164
2,0.006919
3,0.007149
4,0.007299
5,0.007037
6,0.00689
7,0.007035
8,0.007052
9,0.007128
10,0.006899
11,0.007188
12,0.007032
13,0.007349
14,0.007245
15,0.007166
16,0.007052
17,0.007579
18,0.006933
19,0.006953
20,0.007154
21,0.00749
22,0.006802
23,0.00792
24,0.007278
25,0.006584
26,0.007191
27,0.007174
28,0.007474
29,0.007005
30,0.007121
31,0.007319
32,0.007093
33,0.006846
34,0.006981
35,0.006985
36,0.007063
37,0.006913
38,0.006802
39,0.006804
40,0.007075
41,0.007224
42,0.006785
43,0.007036
44,0.006844
45,0.006916
46,0.007013
47,0.007034
48,0.007006
49,0.00698
50,0.007502
51,0.007771
52,0.007607
53,0.007153
54,0.007377
55,0.00714
56,0.006809
57,0.007058
58,0.007199
59,0.006866
60,0.009062
61,0.006939
62,0.007265
63,0.006832
64,0.006956
65,0.007011
66,0.007055
67,0.007212
68,0.007085
69,0.007218
70,0.006832
71,0.007024
72,0.007425
73,0.007209
74,0.007346
75,0.007182
76,0.006945
77,0.007106
78,0.007355
79,0.007302
80,0.006899
81,0.00711
82,0.00707
83,0.007405
84,0.006903
85,0.006815
86,0.01354
87,0.00697
88,0.00694
89,0.00708
90,0.006941
91,0.0071
92,0.007574
93,0.007164
94,0.006942
95,0.007065
