step_size,mean_time,min_time,max_time,total_time,n_predictions
1,0.004539545138888889,0.004161,0.006692,1.3073890000000001,288
3,0.005018177083333333,0.004615,0.007628,0.481745,96
6,0.005556479166666667,0.005168,0.00826,0.26671100000000003,48
12,0.006871416666666667,0.00646,0.008781,0.164914,24
24,0.009861333333333333,0.008699,0.012859,0.118336,12
