,computation_time
0,0.00599
1,0.004736
2,0.004741
3,0.004895
4,0.004796
5,0.004524
6,0.004717
7,0.004768
8,0.004788
9,0.004765
10,0.00485
11,0.005009
12,0.004652
13,0.004689
14,0.004556
15,0.004895
16,0.004626
17,0.004867
18,0.004584
19,0.004919
20,0.004659
21,0.004735
22,0.004768
23,0.00473
24,0.004681
25,0.00466
26,0.004865
27,0.004581
28,0.004741
29,0.004761
30,0.004892
31,0.004744
32,0.004671
33,0.004791
34,0.004844
35,0.004715
36,0.004743
37,0.004745
38,0.004871
39,0.004774
40,0.004842
41,0.004906
42,0.005007
43,0.004813
44,0.004806
45,0.00483
46,0.004752
47,0.004919
48,0.004698
49,0.004697
50,0.004589
51,0.004769
52,0.00472
53,0.004811
54,0.004747
55,0.005268
56,0.004698
57,0.004742
58,0.004668
59,0.004831
60,0.004948
61,0.004532
62,0.005383
63,0.004631
64,0.004687
65,0.005181
66,0.004569
67,0.004852
68,0.004654
69,0.004845
70,0.005003
71,0.004641
72,0.004674
73,0.00483
74,0.004576
75,0.004722
76,0.004714
77,0.00457
78,0.005949
79,0.004823
80,0.004668
81,0.004868
82,0.004952
83,0.004838
84,0.004733
85,0.005086
86,0.004768
87,0.004726
88,0.00475
89,0.005074
90,0.005137
91,0.004794
92,0.005074
93,0.004759
94,0.004685
95,0.004881
