,computation_time
0,0.005649
1,0.005268
2,0.004355
3,0.004339
4,0.004367
5,0.004323
6,0.004306
7,0.004307
8,0.004262
9,0.004237
10,0.004767
11,0.004443
12,0.004527
13,0.004423
14,0.004408
15,0.004365
16,0.004303
17,0.004499
18,0.00435
19,0.004542
20,0.004708
21,0.004464
22,0.004471
23,0.004303
24,0.004309
25,0.004301
26,0.004515
27,0.004246
28,0.004592
29,0.004315
30,0.004292
31,0.004467
32,0.004355
33,0.004639
34,0.004511
35,0.004255
36,0.004623
37,0.004459
38,0.004694
39,0.004467
40,0.004537
41,0.004263
42,0.004655
43,0.004458
44,0.004352
45,0.00477
46,0.004256
47,0.004285
48,0.00434
49,0.004308
50,0.004578
51,0.00434
52,0.004406
53,0.004382
54,0.004487
55,0.004325
56,0.004382
57,0.004424
58,0.004522
59,0.0045
60,0.004668
61,0.004525
62,0.004368
63,0.004651
64,0.004458
65,0.004448
66,0.004583
67,0.004533
68,0.004707
69,0.004537
70,0.004279
71,0.006385
72,0.004612
73,0.004362
74,0.00449
75,0.004373
76,0.00436
77,0.004562
78,0.004317
79,0.004324
80,0.004435
81,0.004331
82,0.004548
83,0.004325
84,0.004306
85,0.004659
86,0.004479
87,0.004332
88,0.004473
89,0.004561
90,0.004383
91,0.004548
92,0.00436
93,0.004928
94,0.004797
95,0.004584
96,0.004665
97,0.004412
98,0.004464
99,0.004498
100,0.004763
101,0.004505
102,0.004413
103,0.004523
104,0.004438
105,0.004348
106,0.004468
107,0.004302
108,0.004265
109,0.00427
110,0.004496
111,0.004643
112,0.005199
113,0.004657
114,0.004517
115,0.0046
116,0.004507
117,0.004428
118,0.004494
119,0.004309
120,0.004513
121,0.004418
122,0.004685
123,0.004375
124,0.005475
125,0.004328
126,0.004483
127,0.00431
128,0.00424
129,0.004356
130,0.00438
131,0.004513
132,0.004294
133,0.00442
134,0.004225
135,0.004419
136,0.004302
137,0.004443
138,0.004748
139,0.004622
140,0.004545
141,0.004376
142,0.004467
143,0.004549
144,0.004395
145,0.004263
146,0.004353
147,0.00449
148,0.004329
149,0.004246
150,0.004491
151,0.004294
152,0.004431
153,0.004532
154,0.004463
155,0.004481
156,0.004414
157,0.004654
158,0.004318
159,0.004182
160,0.004203
161,0.004329
162,0.004225
163,0.004262
164,0.004278
165,0.004382
166,0.004214
167,0.004314
168,0.004263
169,0.004462
170,0.004301
171,0.004469
172,0.004383
173,0.00432
174,0.004303
175,0.004232
176,0.004233
177,0.004303
178,0.004195
179,0.004384
180,0.004459
181,0.004243
182,0.004263
183,0.004279
184,0.004191
185,0.00419
186,0.00444
187,0.004362
188,0.004294
189,0.004315
190,0.004404
191,0.004137
192,0.004268
193,0.004408
194,0.004538
195,0.004296
196,0.004535
197,0.004235
198,0.004307
199,0.004405
200,0.004158
201,0.00417
202,0.004307
203,0.004265
204,0.005337
205,0.004289
206,0.004347
207,0.004268
208,0.004251
209,0.004353
210,0.004529
211,0.004403
212,0.004203
213,0.004549
214,0.004346
215,0.005188
216,0.004269
217,0.004474
218,0.004368
219,0.004426
220,0.00412
221,0.004213
222,0.004177
223,0.004678
224,0.004465
225,0.004243
226,0.004292
227,0.004203
228,0.004283
229,0.004309
230,0.004425
231,0.004376
232,0.00412
233,0.00432
234,0.004485
235,0.004298
236,0.004372
237,0.004272
238,0.004576
239,0.00425
240,0.004389
241,0.004363
242,0.004441
243,0.004409
244,0.004264
245,0.004318
246,0.004312
247,0.004322
248,0.004555
249,0.004388
250,0.005105
251,0.004478
252,0.004235
253,0.004196
254,0.00417
255,0.004308
256,0.00445
257,0.004333
258,0.004216
259,0.004348
260,0.004216
261,0.004307
262,0.004334
263,0.004213
264,0.004243
265,0.0043
266,0.004531
267,0.004125
268,0.004258
269,0.004185
270,0.004405
271,0.004274
272,0.004183
273,0.004454
274,0.004124
275,0.004117
276,0.004255
277,0.004294
278,0.004191
279,0.004224
280,0.004202
281,0.00441
282,0.004447
283,0.004249
284,0.004274
285,0.004397
286,0.004413
287,0.004538
