,computation_time
0,0.007051
1,0.005537
2,0.005126
3,0.005225
4,0.005158
5,0.005217
6,0.005293
7,0.005318
8,0.005394
9,0.005437
10,0.005269
11,0.005413
12,0.005372
13,0.005261
14,0.00556
15,0.005586
16,0.005484
17,0.005342
18,0.005437
19,0.005484
20,0.005319
21,0.005353
22,0.005349
23,0.005346
24,0.005326
25,0.005264
26,0.005196
27,0.005278
28,0.005561
29,0.005273
30,0.005394
31,0.005292
32,0.005517
33,0.005383
34,0.005227
35,0.005327
36,0.005459
37,0.005403
38,0.005129
39,0.005354
40,0.005277
41,0.005477
42,0.005191
43,0.005069
44,0.005213
45,0.005148
46,0.005589
47,0.005262
