,computation_time
0,0.007772
1,0.00899
2,0.013276
3,0.006251
4,0.006278
5,0.006162
6,0.006105
7,0.006267
8,0.006381
9,0.006154
10,0.006589
11,0.006488
12,0.006187
13,0.006088
14,0.006261
15,0.006425
16,0.006547
17,0.006175
18,0.006316
19,0.006296
20,0.0061
21,0.006128
22,0.006145
23,0.006181
24,0.006721
25,0.025109
26,0.006367
27,0.006455
28,0.006256
29,0.006274
30,0.006213
31,0.006166
32,0.006329
33,0.006358
34,0.015754
35,0.006256
36,0.006186
37,0.00618
38,0.006451
39,0.006748
40,0.006374
41,0.00651
42,0.0061
43,0.00646
44,0.006235
45,0.006276
46,0.006153
47,0.006466
48,0.006531
49,0.006602
50,0.006997
51,0.006298
52,0.006681
53,0.006175
54,0.006612
55,0.006277
56,0.006571
57,0.006269
58,0.006786
59,0.006257
60,0.006168
61,0.006303
62,0.006856
63,0.006661
64,0.029322
65,0.006396
66,0.006556
67,0.00659
68,0.006404
69,0.006425
70,0.008126
71,0.029623
72,0.006178
73,0.006213
74,0.006505
75,0.006758
76,0.006178
77,0.0064
78,0.006711
79,0.006342
80,0.006539
81,0.006292
82,0.006343
83,0.006351
84,0.006374
85,0.00635
86,0.006413
87,0.006446
88,0.006399
89,0.006552
90,0.011378
91,0.006184
92,0.006756
93,0.006544
94,0.006219
95,0.006346
96,0.006398
97,0.006263
98,0.006506
99,0.006524
100,0.006399
101,0.006383
102,0.006429
103,0.006379
104,0.006413
105,0.006155
106,0.006289
107,0.00628
108,0.006481
109,0.006273
110,0.006308
111,0.006295
112,0.006224
113,0.006451
114,0.006544
115,0.006478
116,0.006303
117,0.006652
118,0.006633
119,0.006444
120,0.006413
121,0.006513
122,0.006459
123,0.00628
124,0.0062
125,0.006181
126,0.006621
127,0.006222
128,0.006581
129,0.006307
130,0.006324
131,0.006456
132,0.006544
133,0.006213
134,0.006905
135,0.006297
136,0.006424
137,0.006267
138,0.006477
139,0.006469
140,0.006216
141,0.006118
142,0.006979
143,0.006264
144,0.006201
145,0.006369
146,0.006625
147,0.00634
148,0.006329
149,0.006281
150,0.006228
151,0.0065
152,0.006522
153,0.006255
154,0.00658
155,0.006471
156,0.006409
157,0.006341
158,0.006568
159,0.013837
160,0.006844
161,0.006477
162,0.008559
163,0.006393
164,0.008428
165,0.006232
166,0.006268
167,0.006375
168,0.006325
169,0.020931
170,0.006452
171,0.006321
172,0.006429
173,0.006847
174,0.006205
175,0.008142
176,0.00632
177,0.006243
178,0.006541
179,0.006936
180,0.006402
181,0.006401
182,0.006478
183,0.006418
184,0.006422
185,0.006401
186,0.006167
187,0.006473
188,0.010068
189,0.006499
190,0.006555
191,0.006478
192,0.006354
193,0.006541
194,0.006423
195,0.00624
196,0.007031
197,0.006276
198,0.006271
199,0.006478
200,0.006227
201,0.007085
202,0.00647
203,0.006625
204,0.006536
205,0.006461
206,0.006402
207,0.006968
208,0.006341
209,0.006222
210,0.006452
211,0.006274
212,0.006457
213,0.006313
214,0.006381
215,0.00652
216,0.006457
217,0.006238
218,0.006707
219,0.006521
220,0.006258
221,0.007139
222,0.006255
223,0.006433
224,0.006456
225,0.006948
226,0.006289
227,0.006386
228,0.007215
229,0.006287
230,0.007314
231,0.006338
232,0.006903
233,0.006434
234,0.006413
235,0.006355
236,0.006496
237,0.006222
238,0.006564
239,0.006281
240,0.006348
241,0.006216
242,0.006248
243,0.006443
244,0.006557
245,0.006861
246,0.006555
247,0.006443
248,0.006214
249,0.006805
250,0.006316
251,0.006533
252,0.006278
253,0.006261
254,0.006106
255,0.006655
256,0.006402
257,0.006152
258,0.006373
259,0.006527
260,0.00615
261,0.006505
262,0.006367
263,0.006073
264,0.006284
265,0.006357
266,0.006252
267,0.006484
268,0.006067
269,0.00635
270,0.00615
271,0.005967
272,0.006543
273,0.006285
274,0.055857
275,0.006586
276,0.006441
277,0.007699
278,0.006409
279,0.00637
280,0.006219
281,0.006008
282,0.00712
283,0.006359
284,0.006213
285,0.006496
286,0.005976
287,0.006152
