,computation_time
0,0.010538
1,0.011362
2,0.008471
3,0.009472
4,0.008863
5,0.010317
6,0.008954
7,0.008876
8,0.008989
9,0.009473
10,0.00896
11,0.009159
12,0.008871
13,0.008881
14,0.008253
15,0.009219
16,0.008587
17,0.008815
18,0.008817
19,0.009474
20,0.009013
21,0.008801
22,0.008969
23,0.009022
24,0.009962
25,0.008545
26,0.008891
27,0.009065
28,0.009391
29,0.00865
30,0.009499
31,0.009547
32,0.008907
33,0.008827
34,0.009985
35,0.008542
36,0.027792
37,0.008878
38,0.009091
39,0.081414
40,0.010005
41,0.008999
42,0.008917
43,0.010006
44,0.009595
45,0.01048
46,0.009031
47,0.009181
