step_size,mean_time,min_time,max_time,total_time,n_predictions
1,0.004418600694444445,0.004117,0.006385,1.272557,288
3,0.004812791666666667,0.004524,0.00599,0.462028,96
6,0.00537375,0.005069,0.007051,0.25794,48
12,0.006596124999999999,0.006234,0.007923,0.15830699999999998,24
24,0.009013333333333333,0.008525,0.011009,0.10816,12
